751182,11,19210880
0,10,19210880
0,A,3841032
0,B,-10526471
0,C,1753
0,D,0
102,10D,0
47,20,-49,-30,-91
0,21,0,0,1
0,23,-1824
128,104,2
45,11,19210910
0,10,19210910
0,A,3841032
0,B,-10526471
0,C,1753
0,D,0
138,111,0
16,20,-47,-32,-86
0,21,0,0,0
0,23,-1792
123,11,19210940
0,10,19210940
0,A,3841032
0,B,-10526471
0,C,1753
0,D,0
90,110,2
14,20,-49,-31,-95
0,21,0,0,0
0,23,-1792
98,11,19210960
0,10,19210960
0,A,3841032
0,B,-10526471
0,C,1753
0,D,0
90,10C,700
109,11,19210980
0,10,19210980
0,A,3841032
0,B,-10526471
0,C,1753
0,D,0
94,10D,0
26,20,-49,-28,-90
0,21,0,0,0
0,23,-1792
80,11,19211000
0,10,19211000
0,A,3841032
0,B,-10526471
0,C,1753
0,D,0
91,104,2
42,11,19211010
0,10,19211010
0,A,3841032
0,B,-10526471
0,C,1739
0,D,0
94,20,-49,-31,-94
0,21,0,0,0
0,23,-1840
52,111,0
20,11,19211030
0,10,19211030
0,A,3841032
0,B,-10526471
0,C,1739
0,D,0
108,11,19211040
0,10,19211040
0,A,3841032
0,B,-10526471
0,C,1739
0,D,0
90,10E,10
14,20,-47,-31,-89
0,21,0,0,0
0,23,-1808
90,11,19211060
0,10,19211060
0,A,3841032
0,B,-10526471
0,C,1739
0,D,1
95,10C,700
51,11,19211070
0,10,19211070
0,A,3841032
0,B,-10526471
0,C,1739
0,D,1
95,20,-44,-31,-84
0,21,0,0,0
0,23,-1792
52,10D,0
105,11,19211100
0,10,19211100
0,A,3841032
0,B,-10526471
0,C,1739
0,D,0
91,104,2
20,20,-49,-29,-92
0,21,0,0,0
0,23,-1824
87,11,19211120
0,10,19211120
0,A,3841032
0,B,-10526471
0,C,1739
0,D,0
92,111,0
110,11,19211140
0,10,19211140
0,A,3841032
0,B,-10526471
0,C,1739
0,D,0
91,10C,687
27,20,-49,-28,-88
0,21,0,0,0
0,23,-1824
83,11,19211160
0,10,19211160
0,A,3841032
0,B,-10526471
0,C,1739
0,D,0
94,10D,0
103,11,19211180
0,10,19211180
0,A,3841032
0,B,-10526471
0,C,1739
0,D,0
92,104,2
20,20,-49,-27,-88
0,21,0,0,0
0,23,-1808
94,11,19211200
0,10,19211200
0,A,3841032
0,B,-10526471
0,C,1739
0,D,0
91,111,0
31,11,19211210
0,10,19211210
0,A,3841032
0,B,-10526471
0,C,1739
0,D,0
92,20,-47,-31,-88
0,21,0,0,0
0,23,-1792
54,10B,24
31,11,19211230
0,10,19211230
0,A,3841033
0,B,-10526471
0,C,1739
0,D,0
108,11,19211240
0,10,19211240
0,A,3841033
0,B,-10526471
0,C,1739
0,D,0
90,10C,687
35,20,-48,-31,-92
0,21,0,0,0
0,23,-1792
64,11,19211260
0,10,19211260
0,A,3841033
0,B,-10526471
0,C,1739
0,D,0
91,10D,0
111,11,19211280
0,10,19211280
0,A,3841033
0,B,-10526471
0,C,1739
0,D,0
94,104,2
21,20,-44,-31,-86
0,21,0,0,0
